Number,PCR Number,PCR Name,Proposer,Status,PCR Type,Change Request,Create On,Last Modified On,OTM,Product Category,Impacted Products,Product Name ,Current Status,Next CP,PKO,BC,SDV Entry,SDV Exit,SIT Entry,SIT Exit,SVT Entry,SVT Exit,SOVP Entry, SS,EOL/LOD Date,TPM,SL,OTM/ODT Leader,Project Name,Platform_y,FF,Platform_x,Segment,Brand,PCB,MB ,Region,Chassis
10,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre M75s Gen 5,ThinkCentre M75s Gen5,SIT,2024-05-10,2023-02-14,2023-08-29,2023-09-11,2023-12-15,2023-12-25,2024-05-10,2024-05-20,2024-06-14,,2024-06-28,2026-09-30,wangjf2,liangwh5,gaozhuo1,Dayton_SFF,AMD_Phoenix AM5,SFF,PHoenix Pro665,Commercial,ThinkCentre M,8.2 PCB,AM5,ROW,8.2L
11,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre M760q,ThinkCentre M760q,SIT,2024-01-08,2023-06-12,2023-10-16,2023-11-10,2024-01-08,2024-01-22,2024-04-26,2024-05-09,2024-06-10,,2024-07-16,2026-06-30,wangjy75,zouzhi1,tanxh2,Meknes_PRC_Tiny,Intel_RPL-S-R,Tiny,Intel ADL Q670,Commercial,ThinkCentre M,PCB2-DDR5*2,MB2:TCM,PRC,1L
12,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre M90a Gen 5,ThinkCentre M90a Gen 5,SS,-,-,2023-07-11,,,2023-09-12,2023-11-28,2023-12-04,2024-01-02,,2024-01-16,2025-12-31,longyan1,,jiangping8,Minsk_M9,Intel_RPL-S-R,AIO,Intel RPL,Commercial,ThinkCentre M,,,ROW,
13,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre M90s Gen 5,ThinkCentre M90s Gen 5,SVT,2024-03-29,2023-06-05,2023-10-30,-,-,2023-11-06,2024-01-25,2024-02-01,2024-03-29,,2024-04-15,2026-06-30,kangxj2,Zhaoming3,zhangjn4,Patreks_M,Intel_RPL-S-R,SFF,ADL-S Q670,Commercial,ThinkCentre M,RPL PCB1(MSI),MB1,WW,8.2L
14,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre M90t Gen 5,ThinkCentre M90t Gen 5,SVT,2024-03-29,2023-06-05,2023-10-30,-,-,2023-11-06,2024-01-25,2024-02-01,2024-03-29,,2024-04-15,2026-06-30,kangxj2,Zhaoming3,zhangjn4,Patreks_M,Intel_RPL-S-R,TWR,ADL-S Q670,Commercial,ThinkCentre M,RPL PCB1(MSI),MB1,WW,17L
15,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre neo 50s Gen 5,ThinkCentre neo 50s Gen 5 ,Plan,2024-04-04,2023-11-28,2024-04-04,TBD,TBD,TBD,TBD,TBD,TBD,TBD,2024-9,2026-09-30,qianqiana,Songliang,hanjing7,TBD,Intel_RPL-S-R,SFF,RPL-S  B760 DDR5,SMB,ThinkCentre neo,New PCB3,TBD,ROW & PRC,8.2L
16,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre neo 50t Gen 5,ThinkCentre neo 50t Gen5,SIT,2024-05-22,2023-06-05,2023-10-23,-,-,2023-12-13,2024-05-22,2024-05-27,2024-06-28,,2024-07-15,2026-09-30,Hua Dong,Lupeng Zhao,yuyan9,Milford,Intel_RPL-S-R,TWR,RPL-S B760,SMB,ThinkCentre neo,New PCB3,MB4,ROW,13.6L
17,CP20240517_0008,Remove Micron 2550 SSD from MP Projects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from MP Projects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the MP sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from MP DT systems.  Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T17:53:31.000,2024-05-17T18:26:20.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre 3 07IRB8,IdeaCentre 3 07IRB8,SS,-,-,-,-,-,2023-09-08,2023-12-01,2023-12-04,2023-12-15,,2023-12-15,2025-03-31,qianqiana,Songliang,hanjing7,Exeter_IC,Intel_RPL-S,SFF,ADL-S  B660 -Refresh,Consumer,IdeaCentre,7.4 PCB 1,Bidding Box B660,ROW&PRC,7.4L
18,CP20240517_0008,Remove Micron 2550 SSD from MP Projects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from MP Projects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the MP sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from MP DT systems.  Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T17:53:31.000,2024-05-17T18:26:20.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre neo 50s Gen 4,ThinkCentre neo 50s Gen 4,SS,-,-,-,-,-,2023-09-08,2023-12-01,2023-12-04,2023-12-30,,2023-12-30,2024-12-31,qianqiana,Songliang,hanjing7,Exeter_neo,Intel_RPL-S,SFF,ADL-S  B660 -Refresh,SMB,ThinkCentre neo,7.4 PCB 1,Bidding Box B660,ROW&PRC,7.4L
19,CP20240517_0008,Remove Micron 2550 SSD from MP Projects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from MP Projects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the MP sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from MP DT systems.  Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T17:53:31.000,2024-05-17T18:26:20.000,"chenwy3,zhanght25,chenjd4",DT_BU,YangTian M400IRB,YangTian M400IRB,SS,-,-,-,-,-,2023-09-08,2023-12-01,2023-12-04,2023-12-30,,2023-12-30,2024-12-31,qianqiana,Songliang,hanjing7,Exeter_YT,Intel_RPL-S,SFF,ADL-S  B660 -Refresh,SMB,YangTian,7.4 PCB 1,Bidding Box B660,PRC,7.4L
